Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
hero-strike,"HERO Strike","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Warrior Structure Deck","Yu-Gi-Oh, Structure Deck, 2015, HERO",TRUE,Title,"Default Title",SD-2015-027,250,shopify,4,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=HERO+Strike,1,"HERO Strike placeholder image",FALSE,"HERO Strike","Structure Deck product import for Arcana Vault.",active
geargia-rampage,"Geargia Rampage","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Machine Structure Deck","Yu-Gi-Oh, Structure Deck, 2014, Machine",TRUE,Title,"Default Title",SD-2014-028,250,shopify,12,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Geargia+Rampage,1,"Geargia Rampage placeholder image",FALSE,"Geargia Rampage","Structure Deck product import for Arcana Vault.",active
realm-of-light,"Realm of Light","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Light Structure Deck","Yu-Gi-Oh, Structure Deck, 2014, Light",TRUE,Title,"Default Title",SD-2014-029,250,shopify,19,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Realm+of+Light,1,"Realm of Light placeholder image",FALSE,"Realm of Light","Structure Deck product import for Arcana Vault.",active
cyber-dragon-revolution,"Cyber Dragon Revolution","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Machine Structure Deck","Yu-Gi-Oh, Structure Deck, 2014, Machine",TRUE,Title,"Default Title",SD-2014-030,250,shopify,8,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Cyber+Dragon+Revolution,1,"Cyber Dragon Revolution placeholder image",FALSE,"Cyber Dragon Revolution","Structure Deck product import for Arcana Vault.",active
saga-of-blue-eyes-white-dragon,"Saga of Blue-Eyes White Dragon","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dragon Structure Deck","Yu-Gi-Oh, Structure Deck, 2013, Dragon",TRUE,Title,"Default Title",SD-2013-031,250,shopify,5,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Saga+of+Blue+Eyes,1,"Saga of Blue-Eyes White Dragon placeholder image",FALSE,"Saga of Blue-Eyes White Dragon","Structure Deck product import for Arcana Vault.",active
onslaught-of-the-fire-kings,"Onslaught of the Fire Kings","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Fire Structure Deck","Yu-Gi-Oh, Structure Deck, 2013, Fire",TRUE,Title,"Default Title",SD-2013-032,250,shopify,11,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Fire+Kings,1,"Onslaught of the Fire Kings placeholder image",FALSE,"Onslaught of the Fire Kings","Structure Deck product import for Arcana Vault.",active
realm-of-the-sea-emperor,"Realm of the Sea Emperor","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Water Structure Deck","Yu-Gi-Oh, Structure Deck, 2012, Water",TRUE,Title,"Default Title",SD-2012-033,250,shopify,16,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Sea+Emperor,1,"Realm of the Sea Emperor placeholder image",FALSE,"Realm of the Sea Emperor","Structure Deck product import for Arcana Vault.",active
samurai-warlords,"Samurai Warlords","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Warrior Structure Deck","Yu-Gi-Oh, Structure Deck, 2012, Warrior",TRUE,Title,"Default Title",SD-2012-034,250,shopify,9,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Samurai+Warlords,1,"Samurai Warlords placeholder image",FALSE,"Samurai Warlords","Structure Deck product import for Arcana Vault.",active
dragons-collide,"Dragons Collide","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dragon Structure Deck","Yu-Gi-Oh, Structure Deck, 2012, Dragon",TRUE,Title,"Default Title",SD-2012-035,250,shopify,6,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Dragons+Collide,1,"Dragons Collide placeholder image",FALSE,"Dragons Collide","Structure Deck product import for Arcana Vault.",active
gates-of-the-underworld,"Gates of the Underworld","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dark Structure Deck","Yu-Gi-Oh, Structure Deck, 2011, Dark",TRUE,Title,"Default Title",SD-2011-036,250,shopify,13,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Gates+Underworld,1,"Gates of the Underworld placeholder image",FALSE,"Gates of the Underworld","Structure Deck product import for Arcana Vault.",active
lost-sanctuary,"Lost Sanctuary","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Light Structure Deck","Yu-Gi-Oh, Structure Deck, 2011, Light",TRUE,Title,"Default Title",SD-2011-037,250,shopify,20,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Lost+Sanctuary,1,"Lost Sanctuary placeholder image",FALSE,"Lost Sanctuary","Structure Deck product import for Arcana Vault.",active
dragunity-legion,"Dragunity Legion","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dragon Structure Deck","Yu-Gi-Oh, Structure Deck, 2011, Dragon",TRUE,Title,"Default Title",SD-2011-038,250,shopify,8,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Dragunity+Legion,1,"Dragunity Legion placeholder image",FALSE,"Dragunity Legion","Structure Deck product import for Arcana Vault.",active
marik,"Marik","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dark Structure Deck","Yu-Gi-Oh, Structure Deck, 2010, Dark",TRUE,Title,"Default Title",SD-2010-039,250,shopify,5,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Marik,1,"Marik placeholder image",FALSE,"Marik","Structure Deck product import for Arcana Vault.",active
machina-mayhem,"Machina Mayhem","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Machine Structure Deck","Yu-Gi-Oh, Structure Deck, 2010, Machine",TRUE,Title,"Default Title",SD-2010-040,250,shopify,17,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Machina+Mayhem,1,"Machina Mayhem placeholder image",FALSE,"Machina Mayhem","Structure Deck product import for Arcana Vault.",active
warrior-s-strike,"Warrior's Strike","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Warrior Structure Deck","Yu-Gi-Oh, Structure Deck, 2009, Warrior",TRUE,Title,"Default Title",SD-2009-041,250,shopify,12,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Warriors+Strike,1,"Warrior's Strike placeholder image",FALSE,"Warrior's Strike","Structure Deck product import for Arcana Vault.",active
spellcaster-s-command,"Spellcaster's Command","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Spellcaster Structure Deck","Yu-Gi-Oh, Structure Deck, 2009, Spellcaster",TRUE,Title,"Default Title",SD-2009-042,250,shopify,7,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Spellcasters+Command,1,"Spellcaster's Command placeholder image",FALSE,"Spellcaster's Command","Structure Deck product import for Arcana Vault.",active
zombie-world,"Zombie World","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dark Structure Deck","Yu-Gi-Oh, Structure Deck, 2008, Zombie",TRUE,Title,"Default Title",SD-2008-043,250,shopify,15,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Zombie+World,1,"Zombie World placeholder image",FALSE,"Zombie World","Structure Deck product import for Arcana Vault.",active
dark-emperor,"Dark Emperor","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dark Structure Deck","Yu-Gi-Oh, Structure Deck, 2008, Dark",TRUE,Title,"Default Title",SD-2008-044,250,shopify,4,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Dark+Emperor,1,"Dark Emperor placeholder image",FALSE,"Dark Emperor","Structure Deck product import for Arcana Vault.",active
rise-of-the-dragon-lords,"Rise of the Dragon Lords","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dragon Structure Deck","Yu-Gi-Oh, Structure Deck, 2007, Dragon",TRUE,Title,"Default Title",SD-2007-045,250,shopify,10,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Dragon+Lords,1,"Rise of the Dragon Lords placeholder image",FALSE,"Rise of the Dragon Lords","Structure Deck product import for Arcana Vault.",active
machine-re-volt,"Machine Re-volt","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Machine Structure Deck","Yu-Gi-Oh, Structure Deck, 2007, Machine",TRUE,Title,"Default Title",SD-2007-046,250,shopify,18,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Machine+Revolt,1,"Machine Re-volt placeholder image",FALSE,"Machine Re-volt","Structure Deck product import for Arcana Vault.",active
dinosaur-s-rage,"Dinosaur's Rage","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Creature Structure Deck","Yu-Gi-Oh, Structure Deck, 2006, Dinosaur",TRUE,Title,"Default Title",SD-2006-047,250,shopify,13,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Dinosaurs+Rage,1,"Dinosaur's Rage placeholder image",FALSE,"Dinosaur's Rage","Structure Deck product import for Arcana Vault.",active
lord-of-the-storm,"Lord of the Storm","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Creature Structure Deck","Yu-Gi-Oh, Structure Deck, 2006, Wind",TRUE,Title,"Default Title",SD-2006-048,250,shopify,6,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Lord+of+the+Storm,1,"Lord of the Storm placeholder image",FALSE,"Lord of the Storm","Structure Deck product import for Arcana Vault.",active
invincible-fortress,"Invincible Fortress","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Earth Structure Deck","Yu-Gi-Oh, Structure Deck, 2006, Earth",TRUE,Title,"Default Title",SD-2006-049,250,shopify,21,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Invincible+Fortress,1,"Invincible Fortress placeholder image",FALSE,"Invincible Fortress","Structure Deck product import for Arcana Vault.",active
spellcaster-s-judgement,"Spellcaster's Judgement","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Spellcaster Structure Deck","Yu-Gi-Oh, Structure Deck, 2006, Spellcaster",TRUE,Title,"Default Title",SD-2006-050,250,shopify,9,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Spellcasters+Judgement,1,"Spellcaster's Judgement placeholder image",FALSE,"Spellcaster's Judgement","Structure Deck product import for Arcana Vault.",active
warrior-s-triumph,"Warrior's Triumph","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Warrior Structure Deck","Yu-Gi-Oh, Structure Deck, 2005, Warrior",TRUE,Title,"Default Title",SD-2005-051,250,shopify,11,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Warriors+Triumph,1,"Warrior's Triumph placeholder image",FALSE,"Warrior's Triumph","Structure Deck product import for Arcana Vault.",active
fury-from-the-deep,"Fury from the Deep","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Water Structure Deck","Yu-Gi-Oh, Structure Deck, 2005, Water",TRUE,Title,"Default Title",SD-2005-052,250,shopify,18,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Fury+from+the+Deep,1,"Fury from the Deep placeholder image",FALSE,"Fury from the Deep","Structure Deck product import for Arcana Vault.",active
blaze-of-destruction,"Blaze of Destruction","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Fire Structure Deck","Yu-Gi-Oh, Structure Deck, 2005, Fire",TRUE,Title,"Default Title",SD-2005-053,250,shopify,7,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Blaze+of+Destruction,1,"Blaze of Destruction placeholder image",FALSE,"Blaze of Destruction","Structure Deck product import for Arcana Vault.",active
zombie-madness,"Zombie Madness","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dark Structure Deck","Yu-Gi-Oh, Structure Deck, 2005, Zombie",TRUE,Title,"Default Title",SD-2005-054,250,shopify,4,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Zombie+Madness,1,"Zombie Madness placeholder image",FALSE,"Zombie Madness","Structure Deck product import for Arcana Vault.",active
dragon-s-roar,"Dragon's Roar","Imported Structure Deck product for Arcana Vault. Product name only; no official artwork included.","Yu-Gi-Oh! TCG","Toys & Games > Games > Card Games","Dragon Structure Deck","Yu-Gi-Oh, Structure Deck, 2005, Dragon",TRUE,Title,"Default Title",SD-2005-055,250,shopify,13,deny,manual,14.99,TRUE,TRUE,https://placehold.co/640x640/140f1f/fff7df.png?text=Dragons+Roar,1,"Dragon's Roar placeholder image",FALSE,"Dragon's Roar","Structure Deck product import for Arcana Vault.",active
